"ID","event_type","event_item","answer","event_comp","item_id","mean_event_item","sd_event_item"
2461,"indiff","In einem zufällig ausgewählten deutschen Haushalt gibt es einen Trockner.",60,"pos","82",42.8222222222222,22.6206752661133
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland hat NICHT mehr als zwei Geschwister.",45,"neg","87",28.1333333333333,17.0834848478129
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland trainiert täglich.",55,"pos","88",25,19.7955458718277
2461,"indiff","Ein(e) zufällig ausgewählte(r) Student(in) in Deutschland hat KEINE Erfahrung mit dem Programmieren am Computer.",55,"neg","75",35.8666666666667,23.548402763824
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland nutzt Facebook NICHT wöchentlich.",45,"neg","98",46.7333333333333,20.9115018372882
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland hat innerhalb der letzten Woche KEIN Buch zu Ende gelesen.",55,"neg","95",22.4666666666667,18.6311079063533
2461,"indiff","An einem zufällig ausgewählten Tag im Jahr wird die Sonnenscheindauer für ganz Deutschland NICHT über 4 Stunden liegen.",70,"neg","91",69.5777777777778,22.5504372955875
2461,"indiff","Eine zufällig ausgewählte deutsche Person besucht an Weihnachten NICHT die Kirche.",80,"neg","90",31.4888888888889,19.1805088355841
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland wohnt in Süddeutschland.",33,"pos","84",35.6,13.7830594307914
2461,"indiff","An einem zufällig ausgewählten Tag im Jahr wird die Temperatur in Deutschland über 15 °C liegen.",50,"pos","92",52.0888888888889,14.7953036501793
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland ist Fan eines Fußballvereins.",60,"pos","80",55.1111111111111,20.5085594350508
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland ist noch NIE im Mittelmeer geschwommen.",85,"neg","83",41.5555555555556,26.33659358414
2461,"indiff","Ein zufällig ausgewähltes deutsches Schulkind lernt NICHT in der Schule ein Instrument zu spielen.",100,"neg","86",38.4,29.386453279762
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland wird irgendwann an Krebs sterben.",35,"pos","76",33.4666666666667,19.4171901347047
2461,"indiff","Ein zufällig ausgewähltes Auto auf der Straße in Deutschland wurde NICHT in Deutschland hergestellt.",50,"neg","81",49.0888888888889,20.3914222409841
2461,"indiff","In einem zufällig ausgewählten Jahr werden in Deutschland im April NICHT mehr Blumen blühen als im März.",70,"neg","89",73.3777777777778,23.6559514795757
2461,"indiff","Ein zufällig ausgewähltes Ehepaar in Deutschland hat mehr als zwei Kinder.",40,"pos","79",27,14.2541859880464
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland isst täglich Früchte.",50,"pos","93",57.1111111111111,23.0850426016326
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland, die über 20 Jahre alt ist, hat einen Führerschein.",70,"pos","77",73.4888888888889,12.5871908596547
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland ist NICHT verheiratet.",35,"neg","78",39.4,12.4579292019179
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland nutzt Twitter wöchentlich.",50,"pos","96",34.9111111111111,21.0084639028073
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland schaut täglich YouTube-Videos.",35,"pos","97",46.7333333333333,23.2275306870572
2461,"indiff","Ein zufällig ausgewählter Haushalt in Deutschland besitzt ein oder mehrere Haustiere.",65,"pos","94",46.9777777777778,18.4704787663608
2461,"indiff","An einem zufällig ausgewählten Tag im Januar wird die Durchschnittstemperatur in Deutschland NICHT über 0°C liegen.",10,"neg","74",61.0222222222222,26.0458414835432
2461,"indiff","In einem zufällig ausgewählten Jahr wird die Blumenblüte im Rheintal vor März beginnen.",45,"pos","85",29.9555555555556,23.8441488492132
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland wohnt NICHT in Süddeutschland.",30,"neg","84",41.4,17.2091413340278
2461,"indiff","Ein zufällig ausgewähltes deutsches Schulkind lernt in der Schule ein Instrument zu spielen.",90,"pos","86",34.8222222222222,24.4375724959528
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland hat mehr als zwei Geschwister.",45,"pos","87",24.2666666666667,13.3184765713582
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland trainiert NICHT täglich.",40,"neg","88",23.4444444444444,18.5515933591057
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland hat innerhalb der letzten Woche ein Buch zu Ende gelesen.",46,"pos","95",22.4222222222222,14.9034603804999
2461,"indiff","Ein zufällig ausgewähltes Auto auf der Straße in Deutschland wurde in Deutschland hergestellt.",50,"pos","81",48.0666666666667,20.0413209508392
2461,"indiff","In einem zufällig ausgewählten Jahr werden in Deutschland im April mehr Blumen blühen als im März.",30,"pos","89",70,27.1410457358659
2461,"indiff","In einem zufällig ausgewählten deutschen Haushalt gibt es KEINEN Trockner.",60,"neg","82",44.3333333333333,22.3667773108405
2461,"indiff","An einem zufällig ausgewählten Tag im Jahr wird die Temperatur in Deutschland NICHT über 15 °C liegen.",75,"neg","92",50.3111111111111,19.7528159352974
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland nutzt wöchentlich Facebook.",10,"pos","98",48.2666666666667,24.5915728359423
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland ist verheiratet.",64,"pos","78",41.0888888888889,14.7599307435894
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland wird NICHT irgendwann an Krebs sterben.",40,"neg","76",34.0666666666667,19.1090173858978
2461,"indiff","Ein zufällig ausgewähltes Ehepaar in Deutschland hat NICHT mehr als zwei Kinder.",30,"neg","79",27.6,13.1778050317397
2461,"indiff","Eine zufällig ausgewählte Person in Deutschland nutzt Twitter NICHT wöchentlich.",50,"neg","96",36.4222222222222,21.5980732399158
2461,"indiff","Eine zufällig ausgewählte deutsche Person besucht an Weihnachten die Kirche.",90,"pos","90",34.6,19.6993308608094
2461,"indiff","An einem zufällig ausgewählten Tag im Januar wird die Durchschnittstemperatur in Deutschland über 0°C liegen.",10,"pos","74",51.6888888888889,25.3590778279264
